Species	logAv	Class	logLDA	p
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Sulfitobacter.s__Sulfitobacter_sp__SK025	0	Positive	2.420386605	0.042613807
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.g__Monoglobus.s__Monoglobus_pectinilyticus	2.842856459	Positive	2.556795335	0.01239094
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Yersiniaceae.g__Rahnella.s__Rahnella_aceris	0	Positive	2.346146809	0.042613807
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Erythrobacteraceae.g__Porphyrobacter.s__Porphyrobacter_sp__CACIAM_03H1	0	Positive	2.09315761	0.035775458
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Thalassobius.s__Thalassobius_gelatinovorus	0	Positive	2.324831664	0.04173602
d__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanosarcinales.f__Methanosarcinaceae.g__Methanosarcina.s__Methanosarcina_acetivorans	0	Positive	2.135224115	0.020923287
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Micrococcales.f__Micrococcaceae.g__Glutamicibacter.s__Glutamicibacter_nicotianae	0	Positive	2.250574617	0.042613807
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Enterocloster.s__Enterocloster_clostridioformis	3.713499224	Positive	3.379863248	3.09E-06
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Bartonellaceae.g__Bartonella.s__Bartonella_schoenbuchensis	0	Positive	2.540267055	0.042613807
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Candidatus_Nanopelagicales.f__Candidatus_Nanopelagicaceae.g__Candidatus_Planktophila.s__Candidatus_Planktophila_sulfonica	0	Positive	2.290576273	0.042613807
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Shewanellaceae.g__Shewanella.s__Shewanella_marisflavi	0	Positive	2.454725411	0.046229061
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Thiotrichales.f__Francisellaceae.g__Francisella.s__Francisella_halioticida	0	Positive	2.199392634	0.042613807
d__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Polaribacter.s__Polaribacter_sp__ALD11	0	Positive	2.003940554	0.012114089
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Sphingobium.s__Sphingobium_sp__MI1205	0	Positive	2.256978399	0.042613807
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Cellvibrionaceae.g__Teredinibacter.s__Teredinibacter_turnerae	0	Positive	2.064165525	0.04746539
d__Bacteria.p__Proteobacteria.c__Oligoflexia.o__Bdellovibrionales.f__Bdellovibrionaceae.g__Bdellovibrio.s__Bdellovibrio_sp__NC01	0	Positive	2.210938355	0.044063583
d__Bacteria.p__Deinococcus_Thermus.c__Deinococci.o__Deinococcales.f__Deinococcaceae.g__Deinococcus.s__Deinococcus_sp__AJ005	0	Positive	2.4534533	0.034834021
d__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Weeksellaceae.g__Elizabethkingia.s__Elizabethkingia_miricola	0	Positive	2.307368873	0.030778804
d__Bacteria.p__Tenericutes.c__Mollicutes.o__Mycoplasmatales.f__Mycoplasmataceae.g__Mycoplasmopsis.s__Mycoplasma_maculosum	0	Positive	2.602818056	0.042613807
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Thiotrichales.f__Thiotrichaceae.g__Beggiatoa.s__Beggiatoa_leptomitoformis	2.221259712	Positive	2.035191087	0.025782884
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylocystaceae.g__Methylocystis.s__Methylocystis_parvus	0	Positive	2.133326306	0.021609117
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Coprococcus.s__Coprococcus_comes	3.992179118	Positive	3.383394558	0.022851785
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas.s__Pseudomonas_sp__Lz4W	0	Positive	2.042391638	0.042613807
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Mameliella.s__Mameliella_alba	0	Positive	2.02269713	0.04746539
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Sagittula.s__Sagittula_sp__P11	0	Positive	2.006423141	0.01689434
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Pseudobutyrivibrio.s__Pseudobutyrivibrio_xylanivorans	3.289533783	Positive	2.528266193	0.030493316
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Corynebacteriales.f__Nocardiaceae.g__Nocardia.s__Nocardia_yunnanensis	0	Positive	2.24852291	0.048438382
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Acutalibacter.s__Acutalibacter_muris	3.381129781	Positive	2.670491831	0.046050757
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Anaerostipes.s__Anaerostipes_rhamnosivorans	2.695887821	Positive	2.220193348	0.000824939
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Anaerostipes.s__Anaerostipes_hadrus	3.847103948	Positive	3.283457337	0.021222582
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Blautia.s__Blautia_sp__LZLJ_3	3.383841637	Positive	2.753170912	0.007601641
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae.g__Methylobacterium.s__Methylobacterium_brachiatum	0	Positive	2.116772559	0.033727721
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Clostridiaceae.g__Clostridium.s__Clostridium_taeniosporum	2.739442605	Positive	2.108856106	0.032638913
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Anaerocolumna.s__Anaerocolumna_cellulosilytica	3.172065575	Positive	2.672878016	0.005869988
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Halomonadaceae.g__Halomonas.s__Halomonas_sp__SH5A2	0	Positive	2.699226585	0.042613807
d__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Burkholderia.s__Burkholderia_territorii	0	Positive	2.259427348	0.010759144
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Yersiniaceae.g__Serratia.s__Serratia_sp__Tan611	0	Positive	2.632215696	0.042613807
d__Bacteria.p__Tenericutes.c__Mollicutes.o__Mycoplasmatales.f__Mycoplasmataceae.g__Mycoplasma.s__Mycoplasma_tullyi	0	Positive	2.084654795	0.021609117
d__Archaea.p__Euryarchaeota.c__Halobacteria.o__Natrialbales.f__Natrialbaceae.g__Natrarchaeobaculum.s__Natrarchaeobaculum_aegyptiacum	0	Positive	2.456876645	0.021609117
d__Archaea.p__Euryarchaeota.c__Halobacteria.o__Haloferacales.g__Halalkaliarchaeum.s__Halalkaliarchaeum_desulfuricum	0	Positive	2.194549941	0.021609117
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Micromonosporales.f__Micromonosporaceae.g__Micromonospora.s__Micromonospora_maris	0	Positive	2.079947825	0.04173602
d__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Polaribacter.s__Polaribacter_sp__L12M9	0	Positive	2.339585443	0.025765203
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Corynebacteriales.f__Nocardiaceae.g__Rhodococcus.s__Rhodococcus_rhodochrous	0	Positive	2.371208021	0.021609117
d__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Collimonas.s__Collimonas_arenae	0	Positive	2.252045788	0.041070974
d__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter.s__Helicobacter_felis	0	Positive	2.29974045	0.039639986
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Paracoccus.s__Paracoccus_suum	0	Positive	2.046580482	0.043853172
d__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Arcobacter.s__Arcobacter_thereius	0	Positive	2.488738997	0.042613807
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Clostridiaceae.g__Clostridium.s__Clostridium_kluyveri	2.968998862	Positive	2.69860276	0.000746571
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Sphingobium.s__Sphingobium_sp__RAC03	0	Positive	2.223181416	0.043853172
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Lachnoclostridium.s__Lachnoclostridium_sp__YL32	3.166503477	Positive	2.825453261	7.91E-06
d__Bacteria.p__Bacteroidetes.c__Sphingobacteriia.o__Sphingobacteriales.f__Sphingobacteriaceae.g__Pedobacter.s__Pedobacter_sp__HDW13	0	Positive	2.010272373	0.049362096
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Yersiniaceae.g__Serratia.s__Serratia_sp__FS14	0	Positive	2.604821709	0.042613807
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Alteromonadaceae.g__Marinobacter.s__Marinobacter_sp__LV10R510_11A	0	Positive	2.278535944	0.003403761
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Idiomarinaceae.g__Idiomarina.s__Idiomarina_andamanensis	2.445482465	Positive	2.212232981	0.008365947
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Thiotrichales.f__Piscirickettsiaceae.g__Thiosulfativibrio.s__Thiosulfativibrio_zosterae	0	Positive	2.155247919	0.012114089
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Blautia.s__Blautia_sp__SC05B48	4.459373537	Positive	3.863853133	0.030501728
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__Rhizobium.s__Rhizobium_oryzihabitans	0	Positive	2.18364085	0.030778804
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Micrococcales.f__Microbacteriaceae.g__Leucobacter.s__Leucobacter_denitrificans	0	Positive	2.563229039	0.021609117
d__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Alicyclobacillaceae.g__Effusibacillus.s__Effusibacillus_sp__skT53	2.524029855	Positive	2.147948631	0.024516036
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Lachnoclostridium.s___Clostridium__hylemonae	3.624675457	Positive	3.131964918	0.00035671
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Lacrimispora.s__Lacrimispora_sphenoides	3.410478939	Positive	2.982662804	0.00035059
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas.s__Pseudomonas_sp__CCOS_191	0	Positive	2.252028355	0.010759144
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Peptostreptococcaceae.g__Paraclostridium.s__Paraclostridium_bifermentans	2.336607927	Positive	2.068984714	0.002848488
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Vibrionales.f__Vibrionaceae.g__Paraphotobacterium.s__Paraphotobacterium_marinum	0	Positive	2.233858756	0.009280693
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Clostridiaceae.g__Clostridium.s__Clostridium_bornimense	2.445562922	Positive	2.061502742	0.02109183
d__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__Bacillus_mojavensis	0	Positive	2.270328803	0.008638129
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Corynebacteriales.f__Mycobacteriaceae.g__Mycolicibacterium.s__Mycolicibacterium_phlei	0	Positive	2.053126127	0.036914979
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Peptostreptococcaceae.g__Romboutsia.s__Romboutsia_hominis	3.272269126	Positive	2.937235371	0.030333634
d__Archaea.p__Crenarchaeota.c__Thermoprotei.o__Sulfolobales.f__Sulfolobaceae.g__Saccharolobus.s__Saccharolobus_solfataricus	0	Positive	2.145204082	0.042613807
d__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.g__Methylibium.s__Methylibium_petroleiphilum	0	Positive	2.472884838	0.042613807
d__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Malaciobacter.s__Malaciobacter_pacificus	0	Positive	2.008689368	0.0117216
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Propionibacteriales.f__Nocardioidaceae.g__Nocardioides.s__Nocardioides_cynanchi	0	Positive	2.316996717	0.023314996
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Streptomycetales.f__Streptomycetaceae.g__Streptomyces.s__Streptomyces_sp__RLB3_5	0	Positive	2.031864322	0.006731394
d__Bacteria.p__Tenericutes.c__Mollicutes.o__Mycoplasmatales.f__Mycoplasmataceae.g__Mycoplasmopsis.s__Mycoplasma_citelli	0	Positive	2.462447374	0.028530336
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Brucellaceae.g__Brucella.s__Brucella_sp__09RB8910	0	Positive	2.583481908	0.042613807
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Pseudonocardiales.f__Pseudonocardiaceae.g__Amycolatopsis.s__Amycolatopsis_keratiniphila	0	Positive	2.20280576	0.042757773
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas.s__Pseudomonas_koreensis	0	Positive	2.155990486	0.005233553
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Caproiciproducens.s__Caproiciproducens_sp__NJN_50	2.843251255	Positive	2.335266197	0.008969704
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Pseudoalteromonadaceae.g__Pseudoalteromonas.s__Pseudoalteromonas_piratica	0	Positive	2.599760078	0.01689434
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas.s__Pseudomonas_sp__M30_35	0	Positive	2.085573085	0.035775458
d__Archaea.p__Thaumarchaeota.o__Nitrosopumilales.f__Nitrosopumilaceae.g__Nitrosopumilus.s__Nitrosopumilus_oxyclinae	0	Positive	2.236993345	0.010759144
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Streptomycetales.f__Streptomycetaceae.g__Streptomyces.s__Streptomyces_sp__WAC_01529	0	Positive	2.379173021	0.042613807
d__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_sputorum	0	Positive	2.001400446	0.023234948
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Enterobacter.s__Enterobacter_sp__N18_03635	0	Positive	2.258479922	0.042613807
d__Bacteria.p__Planctomycetes.c__Planctomycetia.o__Planctomycetales.f__Planctomycetaceae.g__Gimesia.s__Gimesia_aquarii	0	Positive	2.016227839	0.027842469
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Erythrobacteraceae.g__Altererythrobacter.s__Altererythrobacter_atlanticus	0	Positive	2.238631284	0.04570755
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Micromonosporales.f__Micromonosporaceae.g__Micromonospora.s__Micromonospora_narathiwatensis	0	Positive	2.25139543	0.021609117
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Sphingobium.s__Sphingobium_sp__Cam5_1	0	Positive	2.287388797	0.039639986
d__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Paraburkholderia.s__Paraburkholderia_xenovorans	0	Positive	2.157843843	0.035775458
d__Archaea.p__Candidatus_Thermoplasmatota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Methanomassiliicoccaceae.g__Candidatus_Methanoplasma.s__Candidatus_Methanoplasma_termitum	0	Positive	2.21857209	0.021609117
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Vibrionales.f__Vibrionaceae.g__Vibrio.s__Vibrio_hyugaensis	0	Positive	2.533763424	0.042613807
d__Bacteria.p__Planctomycetes.c__Planctomycetia.o__Planctomycetales.f__Planctomycetaceae.g__Gimesia.s__Gimesia_algae	0	Positive	2.108140587	0.001840909
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Corynebacteriales.f__Mycobacteriaceae.g__Mycolicibacterium.s__Mycolicibacterium_mageritense	0	Positive	2.047428302	0.025491889
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Caulobacteraceae.g__Caulobacter.s__Caulobacter_segnis	0	Positive	2.358094589	0.035775458
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae.g__Lysobacter.s__Lysobacter_sp__H21R20	0	Positive	2.289881498	0.021609117
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Corynebacteriales.f__Mycobacteriaceae.g__Mycolicibacillus.s__Mycolicibacillus_koreensis	0	Positive	2.086000764	0.035775458
d__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanocorpusculaceae.g__Methanocorpusculum.s__Methanocorpusculum_labreanum	0	Positive	2.029016939	0.01689434
