GeneID	GeneDescription	logAv	Class	logLDA	p
K02968	K02968_small_subunit_ribosomal_protein_S20	3.714935839	Positive	3.119693004	0.007598584
K03561	K03561_biopolymer_transport_protein_ExbB	2.865092772	Positive	2.257217304	0.028327504
K06284	K06284_transcriptional_pleiotropic_regulator_of_transition_state_genes	2.569464419	Positive	2.089510744	0.020648445
K03040	K03040_DNA-directed_RNA_polymerase_subunit_alpha_-EC2-7-7-6-	3.502436719	Positive	2.729650939	0.049202789
K05825	K05825_2-aminoadipate_transaminase_-EC2-6-1---	2.638061783	Positive	2.117524809	0.000659597
K01571	K01571_oxaloacetate_decarboxylase-_alpha_subunit_-EC4-1-1-3-	2.743468705	Positive	2.090041042	0.001231921
K03522	K03522_electron_transfer_flavoprotein_alpha_subunit	2.767317435	Positive	2.057639229	0.006989017
K02217	K02217_ferritin_1	3.572749427	Positive	2.918617218	0.008959293
K00177	K00177_2-oxoglutarate_ferredoxin_oxidoreductase_subunit_gamma_-EC1-2-7-3-	2.885536001	Positive	2.318208435	0.001544365
K00176	K00176_2-oxoglutarate_ferredoxin_oxidoreductase_subunit_delta_-EC1-2-7-3-	2.920658329	Positive	2.256092265	0.032550823
K00175	K00175_2-oxoglutarate/2-oxoacid_ferredoxin_oxidoreductase_subunit_beta_-EC1-2-7-3_1-2-7-11-	2.898637243	Positive	2.211707172	0.032691801
K00174	K00174_2-oxoglutarate/2-oxoacid_ferredoxin_oxidoreductase_subunit_alpha_-EC1-2-7-3_1-2-7-11-	2.973762107	Positive	2.247226262	0.02282421
K09022	K09022_UPF0076_protein_YjgF	3.0073406	Positive	2.477463947	0.000288603
K02909	K02909_large_subunit_ribosomal_protein_L31	3.725824253	Positive	3.06246431	0.003175217
K07979	K07979_GntR_family_transcriptional_regulator	2.642409599	Positive	2.028624252	0.019633466
K00036	K00036_glucose-6-phosphate_1-dehydrogenase_-EC1-1-1-49_1-1-1-363-	2.958447187	Positive	2.333380379	0.021222582
K02784	K02784_phosphocarrier_protein_HPr	2.307764102	Positive	2.025007135	0.023314996
K00024	K00024_malate_dehydrogenase_-EC1-1-1-37-	3.01142414	Positive	2.504427972	0.008903869
K01448	K01448_N-acetylmuramoyl-L-alanine_amidase_-EC3-5-1-28-	3.290147377	Positive	2.701602456	0.006989017
K06142	K06142_outer_membrane_protein	2.90837313	Positive	2.414109043	0.009313092
K01057	K01057_6-phosphogluconolactonase_-EC3-1-1-31-	3.191239861	Positive	2.467930301	0.043070534
K06334	K06334_spore_coat_protein_JC	2.505046771	Positive	2.159498635	0.009523451
K07216	K07216_hemerythrin	2.622757646	Positive	2.192225486	0.000993219
K00945	K00945_cytidylate_kinase_-EC2-7-4-14-	2.794449821	Positive	2.211275789	0.001351818
K02879	K02879_large_subunit_ribosomal_protein_L17	3.454006606	Positive	2.641841246	0.015675202
K01338	K01338_ATP-dependent_Lon_protease_-EC3-4-21-53-	2.925683738	Positive	2.333957406	0.011429233
K02899	K02899_large_subunit_ribosomal_protein_L27	3.627923238	Positive	2.892612258	0.003803074
K02897	K02897_large_subunit_ribosomal_protein_L25	2.985799898	Positive	2.42104243	0.01239094
K12143	K12143_hydrogenase-4_component_H	4.357183515	Positive	3.767122113	0.016871168
K02341	K02341_DNA_polymerase_III_subunit_delta'_-EC2-7-7-7-	3.699599004	Positive	2.972270351	0.021222582
K03594	K03594_bacterioferritin_-EC1-16-3-1-	2.971627636	Positive	2.553619617	0.009609653
K01737	K01737_6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin_synthase_-EC4-2-3-12_4-1-2-50-	3.42809592	Positive	3.041183055	0.003741282
K03775	K03775_FKBP-type_peptidyl-prolyl_cis-trans_isomerase_SlyD	2.94292461	Positive	2.525784912	0.001761755
K04758	K04758_ferrous_iron_transport_protein_A	3.070457006	Positive	2.583781973	0.011441747
K02990	K02990_small_subunit_ribosomal_protein_S6	3.429586097	Positive	2.598666478	0.028407622
K03711	K03711_Fur_family_transcriptional_regulator-_ferric_uptake_regulator	3.449146176	Positive	2.887799412	0.001995578
K03386	K03386_peroxiredoxin_-alkyl_hydroperoxide_reductase_subunit_C-_-EC1-11-1-15-	3.402630406	Positive	2.727602913	0.002643258
K03925	K03925_MraZ_protein	2.998828161	Positive	2.334154485	0.013409227
K07736	K07736_CarD_family_transcriptional_regulator	2.913078078	Positive	2.469102602	3.11E-05
K02601	K02601_transcriptional_antiterminator_NusG	3.467949594	Positive	2.869619493	0.002643258
K03559	K03559_biopolymer_transport_protein_ExbD	3.080086549	Positive	2.458917322	0.037403878
K02970	K02970_small_subunit_ribosomal_protein_S21	3.922063373	Positive	3.333876322	0.022851785
K03737	K03737_pyruvate-ferredoxin/flavodoxin_oxidoreductase_-EC1-2-7-1_1-2-7---	3.0281771	Positive	2.092149076	0.043070534
K03733	K03733_integrase/recombinase_XerC	3.426644338	Positive	2.806693747	0.024588566
K02956	K02956_small_subunit_ribosomal_protein_S15	3.723698074	Positive	3.080520857	0.009738554
K02950	K02950_small_subunit_ribosomal_protein_S12	3.763460981	Positive	2.875378329	0.043070534
K02959	K02959_small_subunit_ribosomal_protein_S16	3.400996372	Positive	2.603325536	0.022851785
K03286	K03286_OmpA-OmpF_porin-_OOP_family	3.299099355	Positive	2.69526476	0.006410378
K09825	K09825_Fur_family_transcriptional_regulator-_peroxide_stress_response	3.120406312	Positive	2.733455261	6.63E-06
K00161	K00161_pyruvate_dehydrogenase_E1_component_alpha_subunit_-EC1-2-4-1-	2.569839171	Positive	2.181635267	0.001992426
K03073	K03073_preprotein_translocase_subunit_SecE	3.301875003	Positive	2.649034206	0.013413923
K03075	K03075_preprotein_translocase_subunit_SecG	3.066941223	Positive	2.231535247	0.046006711
K02939	K02939_large_subunit_ribosomal_protein_L9	3.033505646	Positive	2.328509224	0.008973176
K07791	K07791_anaerobic_C4-dicarboxylate_transporter_DcuA	2.723312433	Positive	2.110937731	0.004914188
K02911	K02911_large_subunit_ribosomal_protein_L32	3.715337447	Positive	3.037391488	0.007601641
K02916	K02916_large_subunit_ribosomal_protein_L35	3.442190831	Positive	2.713394949	0.028399606
K02914	K02914_large_subunit_ribosomal_protein_L34	3.706922412	Positive	2.967135401	0.019695501
K01265	K01265_methionyl_aminopeptidase	3.125821925	Positive	2.291007701	0.001815702
K01224	K01224_arabinogalactan_endo-1-4-beta-galactosidase	3.343749244	Positive	2.97682428	7.57E-07
K02994	K02994_small_subunit_ribosomal_protein_S8	3.435404113	Positive	2.589963873	0.049202789
K03812	K03812_ribosome_modulation_factor	2.693009341	Positive	2.426200625	0.047887995
K02557	K02557_chemotaxis_protein_MotB	2.872166255	Positive	2.302156959	0.026408055
K06079	K06079_copper_homeostasis_protein_-lipoprotein-	3.066955172	Positive	2.4709066	0.005213125
K00384	K00384_thioredoxin_reductase_-NADPH-_-EC1-8-1-9-	3.492837501	Positive	2.811532448	0.005408169
K09158	K09158_hypothetical_protein	2.683832736	Positive	2.092235883	0.033222757
K01163	K01163_hypothetical_protein	2.683211462	Positive	2.171917052	0.001960034
K03832	K03832_periplasmic_protein_TonB	3.094561272	Positive	2.385502992	0.042965015
K01744	K01744_aspartate_ammonia-lyase_-EC4-3-1-1-	2.830945128	Positive	2.230761861	0.028327504
K03668	K03668_heat_shock_protein_HslJ	2.90988048	Positive	2.201649195	0.022782872
K03666	K03666_host_factor-I_protein	2.730988648	Positive	2.26451562	0.019801425
K02992	K02992_small_subunit_ribosomal_protein_S7	3.427097787	Positive	2.587057393	0.037597088
